galaxies.source.pixelization.regularization.coefficient,     log_likelihood,          log_prior,      log_posterior,weight
                                     109.34179261935812,-147261.56508086395,-4.6944786882415315,-147266.25955955219,   1.0
                                     109.34179261935812,-147261.56508086395,-4.6944786882415315,-147266.25955955219,   1.0
                                     109.34179262935811,-147261.56510788025, -4.694478688332988,-147266.25958656857,   1.0
                                     108.34179261935812,-144571.96687993934, -4.685290976330249,-144576.65217091568,   1.0
                                     108.34179262935811,-144571.96690671484, -4.685290976422549,-144576.65219769126,   1.0
                                     104.34179261935812,-134054.57172296348, -4.647671978004053, -134059.2193949415,   1.0
                                     104.34179262935811, -134054.5717487744, -4.647671978099892,-134059.21942075252,   1.0
                                      88.34179261935812, -95855.84968540461,-4.4812132982350565, -95860.33089870284,   1.0
                                      88.34179262935811, -95855.84970733651, -4.481213298348253, -95860.33092063486,   1.0
                                    -2.2442117596399385,                nan,               -inf,                nan,   1.0
                                    -2.2442117496399385,                nan,               -inf,                nan,   1.0
                                      88.34179261935812, -95855.84968540461,-4.4812132982350565, -95860.33089870284,   1.0
                                      88.34179262935811, -95855.84970733651, -4.481213298348253, -95860.33092063486,   1.0
                                      88.34179261935812, -95855.84968540461,-4.4812132982350565, -95860.33089870284,   1.0
