galaxies.source.pixelization.regularization.coefficient,     log_likelihood,          log_prior,      log_posterior,weight
                                     109.19061211061248,-27353.314138464713,-4.6930950899321635,-27358.007233554647,   1.0
                                     109.19061211061248,-27353.314138464713,-4.6930950899321635,-27358.007233554647,   1.0
                                     109.19061212061247,-27353.314143761545, -4.693095090023746, -27358.00723885157,   1.0
                                     108.19061211061248, -26826.02988875559, -4.683894598420906, -26830.71378335401,   1.0
                                     108.19061212061247,-26826.029894004412, -4.683894598513336,-26830.713788602927,   1.0
                                     104.19061211061248,-24764.948213674445, -4.646222030352726,-24769.594435704796,   1.0
                                     104.19061212061247,-24764.948218731002, -4.646222030448705, -24769.59444076145,   1.0
                                      88.19061211061248, -17290.38663865886,-4.4795005186925625,-17294.866139177553,   1.0
                                      88.19061212061247,-17290.386642945163, -4.479500518805954, -17294.86614346397,   1.0
                                    -0.8881844303608659,                nan,               -inf,                nan,   1.0
                                    -0.8881844203608659,                nan,               -inf,                nan,   1.0
                                      88.19061211061248, -17290.38663865886,-4.4795005186925625,-17294.866139177553,   1.0
                                      88.19061212061247,-17290.386642945163, -4.479500518805954, -17294.86614346397,   1.0
                                      88.19061211061248, -17290.38663865886,-4.4795005186925625,-17294.866139177553,   1.0
