galaxies.source.pixelization.regularization.coefficient,     log_likelihood,          log_prior,      log_posterior,weight
                                      99.36055108239329,-175072.75348907663, -4.598755164490171, -175077.3522442411,   1.0
                                      99.36055108239329,-175072.75348907663, -4.598755164490171, -175077.3522442411,   1.0
                                      99.36055109239328,-175072.75351939717,-4.5987551645908145,-175077.35227456177,   1.0
                                      98.36055108239329,-172053.39423724482, -4.588639820040647,-172057.98287706487,   1.0
                                      98.36055109239328,-172053.39426731147, -4.588639820142313, -172057.9829071316,   1.0
                                      94.36055108239329,-160230.00504586907, -4.547123094734303, -160234.5521689638,   1.0
                                      94.36055109239328,-160230.00507491935,  -4.54712309484028, -160234.5521980142,   1.0
                                      78.36055108239329,-117000.15830963576, -4.361320625751882,-117004.51963026152,   1.0
                                      78.36055109239328,-117000.15833462623, -4.361320625879498,-117004.51965525211,   1.0
                                     -20.10002552566617,                nan,               -inf,                nan,   1.0
                                    -20.100025515666168,                nan,               -inf,                nan,   1.0
                                      78.36055108239329,-117000.15830963576, -4.361320625751882,-117004.51963026152,   1.0
                                      78.36055109239328,-117000.15833462623, -4.361320625879498,-117004.51965525211,   1.0
                                      78.36055108239329,-117000.15830963576, -4.361320625751882,-117004.51963026152,   1.0
