galaxies.source.pixelization.regularization.coefficient,     log_likelihood,          log_prior,      log_posterior,weight
                                     115.24727916205833,-226442.96958354145, -4.747080073459759, -226447.7166636149,   1.0
                                     115.24727916205833,-226442.96958354145, -4.747080073459759, -226447.7166636149,   1.0
                                     115.24727917205833,-226442.96961788667, -4.747080073546528,-226447.71669796022,   1.0
                                     114.24727916205833,-223021.07484477077, -4.738365214716631, -223025.8132099855,   1.0
                                     114.24727917205833,-223021.07487886355, -4.738365214804161,-223025.81324407837,   1.0
                                     110.24727916205833,-209586.09529138892, -4.702725835220237,-209590.79801722415,   1.0
                                     110.24727917205833,-209586.09532447066, -4.702725835310942,-209590.79805030598,   1.0
                                      94.24727916205833, -159901.1107639858,-4.5459219576043495,-159905.65668594342,   1.0
                                      94.24727917205833, -159901.1107930072, -4.545921957710453, -159905.6567149649,   1.0
                                    -20.228355794153472,                nan,               -inf,                nan,   1.0
                                     -20.22835578415347,                nan,               -inf,                nan,   1.0
                                      94.24727916205833, -159901.1107639858,-4.5459219576043495,-159905.65668594342,   1.0
                                      94.24727917205833, -159901.1107930072, -4.545921957710453, -159905.6567149649,   1.0
                                      94.24727916205833, -159901.1107639858,-4.5459219576043495,-159905.65668594342,   1.0
