galaxies.source.pixelization.regularization.coefficient,     log_likelihood,          log_prior,      log_posterior,weight
                                      94.48780170485327,-109794.54742455645, -4.548470743679511,-109799.09589530014,   1.0
                                      94.48780170485327,-109794.54742455645, -4.548470743679511,-109799.09589530014,   1.0
                                      94.48780171485326,-109794.54744798226, -4.548470743785344,-109799.09591872605,   1.0
                                      93.48780170485327,-107464.10038470989,-4.5378309647338995,-107468.63821567463,   1.0
                                      93.48780171485326,-107464.10040789293,-4.5378309648408655,-107468.63823885776,   1.0
                                      89.48780170485327,  -98385.2508434953, -4.494102322191443,  -98389.7449458175,   1.0
                                      89.48780171485326, -98385.25086570618,  -4.49410232230319, -98389.74496802849,   1.0
                                      73.48780170485327, -65970.37369216791,   -4.2971194292461, -65974.67081159716,   1.0
                                      73.48780171485326, -65970.37371047071, -4.297119429382177, -65974.67082990009,   1.0
                                    -1.5392627863524382,                nan,               -inf,                nan,   1.0
                                    -1.5392627763524382,                nan,               -inf,                nan,   1.0
                                      73.48780170485327, -65970.37369216791,   -4.2971194292461, -65974.67081159716,   1.0
                                      73.48780171485326, -65970.37371047071, -4.297119429382177, -65974.67082990009,   1.0
                                      73.48780170485327, -65970.37369216791,   -4.2971194292461, -65974.67081159716,   1.0
