galaxies.source.pixelization.regularization.coefficient,     log_likelihood,          log_prior,      log_posterior,weight
                                       112.747668071791,-149553.79040964707, -4.725152295878805,-149558.51556194294,   1.0
                                       112.747668071791,-149553.79040964707, -4.725152295878805,-149558.51556194294,   1.0
                                     112.74766808179099, -149553.7904362824, -4.725152295967498,-149558.51558857836,   1.0
                                       111.747668071791, -146901.8019320196,-4.7162433659094285,-146906.51817538548,   1.0
                                     111.74766808179099,-146901.80195842386, -4.716243365998915,-146906.51820178988,   1.0
                                       107.747668071791, -136525.0624571663,-4.6797920867245235,  -136529.742249253,   1.0
                                     107.74766808179099, -136525.0624826454, -4.679792086817333, -136529.7422747322,   1.0
                                        91.747668071791,  -98729.6932984176, -4.519042070500415,  -98734.2123404881,   1.0
                                      91.74766808179099, -98729.69332017827,  -4.51904207060941, -98734.21236224887,   1.0
                                    -1.9978921506679654,                nan,               -inf,                nan,   1.0
                                    -1.9978921406679655,                nan,               -inf,                nan,   1.0
                                        91.747668071791,  -98729.6932984176, -4.519042070500415,  -98734.2123404881,   1.0
                                      91.74766808179099, -98729.69332017827,  -4.51904207060941, -98734.21236224887,   1.0
                                        91.747668071791,  -98729.6932984176, -4.519042070500415,  -98734.2123404881,   1.0
